title,location_id,nid,address,city,state_code,zip_code,chargers,common_name,open_soon,latitude,longitude,location_type,num_of_chargers,power,id,date_opened,state_name,population_2019,site_size
"Rockaway, NJ Supercharger",rockawaynjsupercharger,43684,395 Mount Hope Avenue,Rockaway,NJ,7866,"<p><strong>Charging</strong><br/>12 Superchargers, available 24/7, up to 150kW</p>",Rockaway Town Plaza,0,40.908505,-74.55736,"['supercharger', 'standard charger']",12.0,150.0,1742.0,2019-03-02,New Jersey,8882190.0,medium
"Paulsboro, NJ Supercharger",paulsboronjsupercharger,48711,51 Berkley Road,Paulsboro,NJ,8066,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 150kW</p>",Wawa,0,39.821606,-75.240969,"['supercharger', 'standard charger']",8.0,150.0,1791.0,2019-01-12,New Jersey,8882190.0,medium
"Marlton, NJ Supercharger",marltonnjsupercharger,50205,500 NJ-73,Marlton,NJ,08053,"<p><strong>Charging</strong><br/>12 Superchargers, available 24/7, up to 120kW</p>",The Promenade at Sagemore,0,39.877502,-74.918512,"['supercharger', 'standard charger']",12.0,120.0,1860.0,2019-04-26,New Jersey,8882190.0,medium
"East Brunswick, NJ - State Route 18 Supercharger",eastbrunswickstateroute18supercharger,51175,755 State Route 18,East Brunswick,NJ,8816,"<p><strong>Charging<?strong><br/>16 Superchargers, available 24/7, up to 150kW</p>",Brunswick Square,0,40.424158,-74.379906,"['supercharger', 'standard charger']",16.0,150.0,1849.0,2019-06-21,New Jersey,8882190.0,high
"Boonton, NJ Supercharger",boontonnjsupercharger,52482,550 Myrtle Avenue,Boonton,NJ,07005,"<p><strong>Charging</strong><br/>10 Superchargers, available 24/7, up to 150kW</p>",Boonton ACME Shopping Center,0,40.90755,-74.397715,"['supercharger', 'standard charger']",10.0,150.0,1989.0,2019-12-14,New Jersey,8882190.0,medium
"Union City, NJ",UnionCityNJsupercharger,52656,,Union City,NJ,,<p><strong>Target opening in Q2 2021</strong></p><p>Timing and location subject to change<br/>New locations added and timing updated quarterly</p>,,1,40.779437,-74.023567,"['supercharger', 'standard charger']",,,,,New Jersey,8882190.0,
"Maple Shade, NJ Supercharger",mapleshadenjsupercharger,53042,2801 Route 73,Maple Shade,NJ,08052,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 250kW</p>",Wawa,0,39.937074,-74.970052,"['supercharger', 'standard charger']",8.0,250.0,2005.0,2020-02-21,New Jersey,8882190.0,medium
"Freehold, NJ Supercharger",freeholdnjsupercharger,53828,909 Route 33,Freehold,NJ,07728,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 250kW</p>",Wawa,0,40.238574,-74.227693,"['supercharger', 'standard charger']",8.0,250.0,2079.0,2020-06-24,New Jersey,8882190.0,medium
"Elizabeth, NJ Supercharger",elizabethnjsupercharger,54390,651 Kapkowski Road,Elizabeth,NJ,07201,"<p><strong>Charging</strong><br/>16 Superchargers, available 24/7, up to 250kW</p>",The Mills at Jersey Gardens,0,40.662915,-74.17379,"['supercharger', 'standard charger']",16.0,250.0,2075.0,2020-08-25,New Jersey,8882190.0,high
"Cranbury, NJ Supercharger",cranburynjsupercharger,54621,Mile Marker 71.7 New Jersey Turnpike,Cranbury,NJ,8512,"<p><strong>Charging</strong><br/>12 Superchargers, available 24/7, up to 150kW</p>",Molly Pitcher Service Area,0,40.32244,-74.4869,"['supercharger', 'standard charger']",12.0,150.0,574.0,2015-07-09,New Jersey,8882190.0,medium
"East Brunswick, NJ Supercharger",eastbrunswicknjsupercharger,55051,"Mile Marker 78 New Jersey Turnpike North
",East Brunswick,NJ,8816,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 250kW</p>",Joyce Kilmer Service Area,0,40.415938,-74.444713,"['supercharger', 'standard charger']",8.0,250.0,573.0,2015-06-19,New Jersey,8882190.0,medium
"Clarksburg, NJ Supercharger",clarksburgnjsupercharger,55357,"548 Monmouth Road
",Clarksburg,NJ,08510,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 250kW</p>",Wawa,0,40.157732,-74.430077,"['supercharger', 'standard charger']",8.0,250.0,2300.0,2020-12-15,New Jersey,8882190.0,medium
